"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"f:\R产品线\tcndemo\src\components\LayoutList.vue", "Vue", 0, 1, 0, 0, 1
"f:\R产品线\tcndemo\src\components\meetingLevel.vue", "Vue", 0, -4, 0, 0, -4
"f:\R产品线\tcndemo\src\components\meetingPlayer.vue", "Vue", 0, 0, 0, 1, 1
"f:\R产品线\tcndemo\src\store\pinia.js", "JavaScript", 5, 0, 2, -1, 6
"f:\R产品线\tcndemo\src\views\pages\controlCom\TwoStepDial.vue", "Vue", 0, 8, 0, 2, 10
"f:\R产品线\tcndemo\src\views\pages\controlCom\bottomController.vue", "Vue", 0, 13, 0, 1, 14
"f:\R产品线\tcndemo\src\views\pages\controlCom\meetingController.vue", "Vue", 0, 47, 0, 6, 53
"f:\R产品线\tcndemo\src\views\pages\controlCom\previewItem.vue", "Vue", 0, 15, 0, 0, 15
"f:\R产品线\tcndemo\src\views\pages\controlCom\previewVideo.vue", "Vue", 0, 2, 0, 1, 3
"f:\R产品线\tcndemo\src\views\pages\interface.vue", "Vue", 0, 3, 0, 0, 3
"f:\R产品线\tcndemo\src\views\pages\player.vue", "Vue", 0, 23, 0, 2, 25
"f:\R产品线\tcndemo\src\views\pages\recordSetting\setting.vue", "Vue", 0, -1, 0, 0, -1
"Total", "-", 5, 107, 2, 12, 126
