"filename", "language", "JSON", "JavaScript", "Markdown", "Vue", "HTML", "CSS", "SCSS", "XML", "comment", "blank", "total"
"f:\R产品线\tcndemo\.eslintrc-auto-import.json", "JSON", 81, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"f:\R产品线\tcndemo\.eslintrc.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"f:\R产品线\tcndemo\README.md", "Markdown", 0, 0, 22, 0, 0, 0, 0, 0, 0, 14, 36
"f:\R产品线\tcndemo\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"f:\R产品线\tcndemo\package-lock.json", "JSON", 4276, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4277
"f:\R产品线\tcndemo\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"f:\R产品线\tcndemo\product\assets\index-3a958cc3.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 22, 1, 31
"f:\R产品线\tcndemo\product\assets\index-d9a19502.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\R产品线\tcndemo\product\assets\login-00cc1c4d.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 8, 1, 11
"f:\R产品线\tcndemo\product\assets\login-b11a6bf2.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"f:\R产品线\tcndemo\product\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"f:\R产品线\tcndemo\src\App.vue", "Vue", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"f:\R产品线\tcndemo\src\api\api.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 23, 33, 183
"f:\R产品线\tcndemo\src\api\http.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 0, 118, 13, 309
"f:\R产品线\tcndemo\src\api\websocket.js", "JavaScript", 0, 418, 0, 0, 0, 0, 0, 0, 30, 48, 496
"f:\R产品线\tcndemo\src\api\wsmsg.js", "JavaScript", 0, 489, 0, 0, 0, 0, 0, 0, 29, 17, 535
